Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change
Beautiful,4/14,"51,351",24,0,"-1,307","128,614",342,"14,960",14,"23,869",-27,Current,Musical,0.01%
Beautiful,4/7,"51,327",18,"1,307",-255,"128,272",358,"14,946",2,"23,896",47,Current,Musical,0.07%
Beautiful,3/31,"51,309",13,"1,562",-271,"127,914",349,"14,944",12,"23,849",38,Current,Musical,0.07%
Beautiful,3/24,"51,296",33,"1,833",298,"127,565",441,"14,932",8,"23,811",58,Current,Musical,0.11%
Beautiful,3/17,"51,263",25,"1,535",-113,"127,124",364,"14,924",21,"23,753",141,Current,Musical,0.21%
Beautiful,3/10,"51,238",39,"1,648",-321,"126,760",428,"14,903",7,"23,612",22,Current,Musical,0.08%
Beautiful,3/3,"51,199",42,"1,969",-528,"126,332",452,"14,896",6,"23,590",30,Current,Musical,0.09%
Beautiful,2/24,"51,157",42,"2,497",203,"125,880",498,"14,890",22,"23,560",36,Current,Musical,0.11%
Beautiful,2/17,"51,115",48,"2,294",-860,"125,382",590,"14,868",0,"23,524",69,Current,Musical,0.13%
Beautiful,2/10,"51,067",58,"3,154","-2,777","124,792",680,"14,868",15,"23,455",36,Current,Musical,0.12%
Beautiful,2/3,"51,009",66,"5,931","-1,717","124,112",510,"14,853",0,"23,419",38,Current,Musical,0.12%
Beautiful,1/27,"50,943",55,"7,648",-685,"123,602",674,"14,853",-5,"23,381",57,Current,Musical,0.12%
Beautiful,1/20,"50,888",99,"8,333","3,145","122,928",576,"14,858",18,"23,324",172,Current,Musical,0.33%
Beautiful,1/13,"50,789",142,"5,188","3,193","122,352",574,"14,840",52,"23,152",226,Current,Musical,0.48%
Beautiful,1/6,"50,647",19,"1,995",385,"121,778",458,"14,788",7,"22,926",-8,Current,Musical,0.02%
Beautiful,12/30,"50,628",51,"1,610",-589,"121,320","1,585","14,781",21,"22,934",-97,Current,Musical,-0.03%
Beautiful,12/10,"50,577",18,"2,199",654,"119,735",487,"14,760",-4,"23,031",-60,Current,Musical,-0.05%
Beautiful,12/3,"50,559",14,"1,545",291,"119,248",443,"14,764",17,"23,091",-50,Current,Musical,-0.02%
Beautiful,11/26,"50,545",25,"1,254","-1,859","118,805",419,"14,747",15,"23,141",55,Current,Musical,0.11%
Beautiful,11/18,"50,520",17,"3,113",849,"118,386",449,"14,732",10,"23,086",29,Current,Musical,0.06%
Beautiful,11/12,"50,503",16,"2,264",-37,"117,937",398,"14,722",-34,"23,057",17,Current,Musical,0%
Beautiful,11/4,"50,487",41,"2,301",-173,"117,539",474,"14,756",30,"23,040",9,Current,Musical,0.09%
Beautiful,10/28,"50,446",58,"2,474",833,"117,065",409,"14,726",13,"23,031",59,Current,Musical,0.15%
Beautiful,10/21,"50,388",29,"1,641",-241,"116,656",378,"14,713",-4,"22,972",94,Current,Musical,0.14%
Beautiful,10/14,"50,359",22,"1,882",-542,"116,278",344,"14,717",8,"22,878",91,Current,Musical,0.14%
Beautiful,10/7,"50,337",29,"2,424","1,179","115,934",259,"14,709",45,"22,787",44,Current,Musical,0.13%
Beautiful,9/30,"50,308","1,458","1,245","-2,321","115,675","3,709","14,664",157,"22,743",548,Current,Musical,2.53%
Beautiful,7/30,"48,850",1,"3,566",0,"111,966",0,"14,507",0,"22,195",538,Current,Musical,0.63%
Beautiful,7/23,"48,849",470,"3,566",297,"111,966",546,"14,507",188,"21,657",609,Current,Musical,1.51%
Beautiful,7/16,"48,379",435,"3,269",-734,"111,420",484,"14,319",246,"21,048",474,Current,Musical,1.40%
Beautiful,7/9,"47,944",75,"4,003","1,265","110,936",517,"14,073",53,"20,574",233,Current,Musical,0.44%
Beautiful,7/2,"47,869",86,"2,738",495,"110,419",386,"14,020",47,"20,341",477,Current,Musical,0.75%
Beautiful,6/25,"47,783",42,"2,243","2,243","110,033","110,033","13,973",34,"19,864",147,Current,Musical,0.27%
Beautiful,6/18,"47,741",191,0,"-6,085",0,"-109,028","13,939",135,"19,717",999,Current,Musical,1.65%
Beautiful,6/11,"47,550",364,"6,085","4,390","109,028",460,"13,804",279,"18,718","1,842",Current,Musical,3.20%
Beautiful,6/4,"47,186",113,"1,695",177,"108,568",351,"13,525",109,"16,876","1,454",Current,Musical,2.21%
Beautiful,5/28,"47,073",116,"1,518","-1,399","108,217",438,"13,416",38,"15,422",192,Current,Musical,0.46%
Beautiful,5/21,"46,957",204,"2,917","-2,750","107,779",481,"13,378",24,"15,230",65,Current,Musical,0.39%
Beautiful,5/14,"46,753",394,"5,667","3,658","107,298",458,"13,354",322,"15,165",260,Current,Musical,1.31%
Beautiful,5/7,"46,359",110,"2,009",641,"106,840",417,"13,032",-4,"14,905",60,Current,Musical,0.22%
Beautiful,4/30,"46,249",26,"1,368",329,"106,423",469,"13,036",18,"14,845",55,Current,Musical,0.13%
Beautiful,4/23,"46,223",38,"1,039",-665,"105,954",314,"13,018",22,"14,790",55,Current,Musical,0.16%
Beautiful,4/16,"46,185",22,"1,704",-294,"105,640",501,"12,996",13,"14,735",53,Current,Musical,0.12%
Beautiful,4/9,"46,163",12,"1,998",291,"105,139",453,"12,983",18,"14,682",62,Current,Musical,0.12%
Beautiful,4/2,"46,151",66,"1,707",-603,"104,686",500,"12,965",19,"14,620",146,Current,Musical,0.31%
